"filename","transcript"
"60.ogg","Erreur du capteur de flux optique. Veuillez nettoyer le capteur de flux optique et redémarrer."
"61.ogg","Début du lavage."
"62.ogg","Début du nettoyage en mode télécommande."
"63.ogg","Le réservoir d'eau a été retiré."
"64.ogg","Échec de la localisation. La carte est invalid. Le robot va retourner à sa station."
"65.ogg","Reprise du retour à la station de charge."
"66.ogg","Filtre usé. Veuillez le remplacer rapidement."
"67.ogg","Brosse latérale usée. Veuillez la remplacer rapidement."
"68.ogg","Brosse principale usée. Veuillez la remplacer rapidement."
"69.ogg","Chemin de nettoyage bloqué. Veuillez déplacer le robot vers une nouvelle position pour redémarrer."
"70.ogg","Veuillez retirer et nettoyer la serpillière."
"71.ogg","Erreur du capteur laser. Veuillez vérifier et nettoyer le capteur laser."
"72.ogg","Veuillez vérifier si le couvercle du capteur de distance laser est bloqué."
"73.ogg","Erreur du capteur de bordure. Veuillez le vérifier et le nettoyer."
"75.ogg","Le filtre n'est peut-être pas sec ou est peut-être obstrué."
"77.ogg","Veuillez démarrer le robot sure une zone sans tapis."
"78.ogg","Veuillez nettoyer le capteur d'évitement d'obstacles 3D."
"79.ogg","Erreur du capteur d'évitement d'obstacles 3D. Veuillez redémarrer le robot ou contacter le service client."
"81.ogg","Erreur du capteur à ultrasons. Veuillez redémarrer le robot ou contacter le service client."
"82.ogg","Début de la cartographie."
"83.ogg","Poursuite de la cartographie."
"84.ogg","Cartographie terminée."
"85.ogg","Localisation réussie. Poursuite de la cartographie."
"86.ogg","Échec de la localisation. Redémarrage de la cartographie."
"87.ogg","Batterie faible. Retour à la station de charge."
"88.ogg","Entrée en mode télécommande."
"89.ogg","Reprise de la charge."
"90.ogg","Poursuite de la tâche de nettoyage."
"91.ogg","Réservoir d'eau propre non installé. Veuillez l'installer."
"93.ogg","Niveau d'eau bas dans le réservoir d'eau propre. Veuillez ajouter de l'eau."
"97.ogg","Veuillez installer le sac collecteur de poussière."
"101.ogg","Couvercle de la base de vidage automatique non fermé ou sac collecteur de poussière non installé. Veuillez fermer le couvercle ou installer le sac."
"102.ogg","Sac collecteur de poussière plein ou conduit d'air obstrué. Veuillez remplacer le sac ou nettoyer le conduit d'air rapidement."
"103.ogg","Planche de lavage pour serpillière installée. Reprise du travail."
"104.ogg","Veuillez installer la planche de lavage."
"105.ogg","Début du nettoyage."
"106.ogg","Début du nettoyage des serpillières."
"107.ogg","Début du séchage des serpillières."
"108.ogg","Erreur de niveau d'eau de la planche de lavage. Veuillez la nettoyer rapidement."
"109.ogg","Erreur du réservoir d'eau sale. Veuillez vous assurer qu'il est installé et vide."
"110.ogg","Début du vidage automatique."
"111.ogg","Serpillières retirées. Veuillez les installer avant de reprendre le travail."
"112.ogg","Veuillez d'abord placer le robot sure la station de base."
"113.ogg","Tâche terminée. Veuillez vider le réservoir d'eau sale rapidement."
"114.ogg","Serpillières installées."
"115.ogg","Serpillières retirées."
"116.ogg","Sécurité enfant activée. Boutons verrouillés."
"117.ogg","Sécurité enfant désactivée. Boutons déverrouillés."
"118.ogg","Boutons verrouillés. Appuyez et maintenez le bouton de la station pour déverrouiller."
"119.ogg","Boutons verrouillés."
"120.ogg","Boutons déverrouillés."
"121.ogg","Le robot et le téléphone sont connectés. Veuillez retourner sure l'application Fanttik et attendre la fin de la connexion au réseau."
"122.ogg","Localisation continue. Veuillez patienter."
"126.ogg","Début du nettoyage."
"127.ogg","Début du nettoyage localisé."
"128.ogg","Début du lavage localisé."
"129.ogg","Début du nettoyage programmé."
"130.ogg","Début du lavage programmé."
"131.ogg","Début du nettoyage localisé."
"132.ogg","Début du lavage localisé."
"133.ogg","Début du nettoyage de la pièce sélectionnée."
"134.ogg","Début du lavage de la pièce sélectionnée."
"135.ogg","Début du nettoyage de la zone."
"136.ogg","Début du lavage de la zone."
"137.ogg","Reprise du nettoyage."
"138.ogg","Reprise de la cartographie."
"139.ogg","Retour en course."
"140.ogg","Nouvel environment détecté. Retour à la station de base."
"141.ogg","Erreur de la serpillière. Veuillez la vérifier et la nettoyer."
"142.ogg","Serpillière usée. Veuillez la remplacer rapidement."
"143.ogg","Nettoyage terminé."
"144.ogg","Lavage terminé."
"145.ogg","Localisation réussie. Reprise du nettoyage."
"146.ogg","Localisation réussie. Reprise de la cartographie."
"148.ogg","Retour à la base pour auto-nettoyage."
"149.ogg","Impossible d'atteindre la zone spécifiée. Veuillez essayer de dégager les obstacles sure le chemin."
"150.ogg","Impossible d'atteindre la zone spécifiée. Veuillez essayer de supprimer les zones interdites sure le chemin."
"151.ogg","Le chemin est bloqué. Veuillez essayer de dégager les obstacles autour de votre robot."
"152.ogg","Le chemin est bloqué. Veuillez essayer de supprimer les zones interdites ou de déplacer votre robot hors de cette zone."
"153.ogg","Votre robot est détecté dans une zone interdite. Veuillez le déplacer hors de cette zone."
"156.ogg","La serpillière n'est pas installée."
"162.ogg","Caméra activée."
"163.ogg","Surveillance par caméra."
"164.ogg","Fin de la tâche."
"166.ogg","Veuillez nettoyer les objects étrangers emmêlés dans la serpillière."
"169.ogg","Séchage de la serpillière terminé."
"170.ogg","Tous les boutons sont verrouillés. Veuillez appuyer et maintenir les boutons sure la station de base pour déverrouiller."
"171.ogg","Function de reconnaissance par IA activée."
"172.ogg","Function de reconnaissance par IA désactivée."
"173.ogg","Veuillez remplacer le stérilisateur à ions d'argent."
"177.ogg","Quitte la station de base."
"179.ogg","Serpillière nettoyée. Le niveau d'eau dans le réservoir d'eau propre est insuffisant. Veuillez remplir le réservoir d'eau propre et vider le réservoir d'eau sale."
"181.ogg","Eau insuffisante. Veuillez remplir le réservoir d'eau propre."
"186.ogg","Veuillez vérifier le réservoir d'eau propre."
"187.ogg","Cela prendra environ cinq à dix minutes."
"188.ogg","Amarrage automatique en course."
"200.ogg","Son d'extinction."
"244.ogg","Bouteille de détergent installée."
"257.ogg","Sortie du mode de surveillance par caméra."
"258.ogg","Auto-localisé. Déplacement de surveillance démarré."
"259.ogg","Auto-localisé. Déplacement vers le lieu désigné."
"260.ogg","Auto-localisé. Reprise du déplacement de surveillance."
"261.ogg","Auto-localisé. Reprise du déplacement vers le lieu désigné."
"262.ogg","Échec de l'auto-localisation."
"263.ogg","Veuillez nettoyer les objects étrangers emmêlés dans la brosse principale. Repositionnez le robot et redémarrez-le."
"264.ogg","Tâche terminée. Veuillez nettoyer le bac à poussière et la planche de lavage."
"266.ogg","Veuillez remplacer le détergent."
"267.ogg","Veuillez nettoyer les captures."
"274.ogg","Ding !"
"280.ogg","Début du nettoyage personnalisé."
"281.ogg","Le robot est en course de vidage automatique. Veuillez réessayer plus tard."
"282.ogg","Le robot nettoie la serpillière. Veuillez réessayer plus tard."
"283.ogg","Le robot n'est pas sure la station de base. Veuillez réessayer plus tard."
"293.ogg","Appels activés."
"294.ogg","Appels désactivés."
"295.ogg","Eau insuffisante. Veuillez vérifier l'alimentation en eau du réservoir d'eau propre."
"296.ogg","Erreur du réservoir d'eau sale. Veuillez vérifier si le réservoir d'eau sale est plein."
"297.ogg","Bouteille de détergent installée. Si le détergent n'a jamais été utilisé, veuillez le réinitialiser dans l'application."
"298.ogg","L'auto-nettoyage de la station de base commence. Veuillez nettoyer l'intérieur avec une brosse ou un chiffon. Après 3 minutes, les eaux usées de la planche de lavage seront évacuées."
"299.ogg","Bouteille de détergent et module d'ajout automatique installés."
"318.ogg","Tâche terminée."
"329.ogg","Début de l'auto-diagnostic. Veuillez ne pas m'éloigner de la station de base."
"330.ogg","Veuillez réessayer une fois l'auto-diagnostic terminé."
"331.ogg","Aucune erreur trouvée. Vous pouvez utiliser l'apparel en toute confiance."
"332.ogg","Une erreur a été trouvée. Veuillez consulter l'application pour plus de détails."
